cond,item,layer,ent,log_T,log_I,log_F
agree,16,21,0.283107201910116,-3.4846283382247085,-3.9815700726884073,-3.2215778190601077
agree,16,22,0.30052900138481203,-2.694420272841444,-3.6858624044695354,-1.869299118237971
agree,16,23,0.35405406251472493,-2.3361459833883886,-3.61734532945803,-1.927763525746853
agree,16,24,0.39384549327984447,-2.3160140578444217,-3.5575594517799454,-1.8162259330705615
agree,16,25,0.39074336778706065,-2.5523933282613385,-3.600953692349189,-1.646387392950322
agree,16,26,0.2682906335693629,-2.759057101919929,-3.788816570182445,-1.8980240219744404
agree,16,27,0.14381246466937936,-3.2445550787625885,-4.1598308691644466,-2.719321112274155
agree,16,28,0.22362507026769507,-3.117765132791633,-3.9820740848343776,-2.8077020730445956
agree,16,29,0.16968414560099712,-3.672792789648033,-3.8349519814861743,-3.3546771239774427
agree,16,30,0.18610935425000089,-3.6868197018775692,-3.7711702926450448,-3.2546255183514003
agree,17,18,0.2653312044673856,-1.7424246553134768,-4.841943658948796,-4.52780858205746
agree,17,19,0.27611183522460936,-0.6558541212131875,-4.253576850751048,-3.357773541773437
agree,17,20,0.24726346151871706,-0.6199494794849881,-4.451948503271701,-3.891871565394223
agree,17,21,0.2364292644364441,-1.6331974331625907,-5.048661811968807,-4.386285581110885
agree,17,22,0.2519836316548551,-1.514710959230939,-4.63839415252978,-3.3411008734708973
agree,17,23,0.27691237445217265,-0.7891416725697777,-4.92022849709561,-3.5445065417310255
agree,17,24,0.2899359007465622,-0.41986147335338836,-4.82832263869386,-3.2308441416285234
agree,17,25,0.25400498792650916,-0.6197655790991058,-5.303875555345122,-3.607021092425968
agree,17,26,0.26337675332261146,-0.35317066043853024,-5.210596525571234,-3.2894639240874968
agree,17,27,0.1951179587709395,-0.8251427767861285,-5.035741656082646,-3.4733337597536673
agree,17,28,0.13641417020598529,-2.345311459759128,-5.155848836346638,-4.393044566837371
agree,17,29,0.05044401862102972,-3.5504663453895864,-5.087258479300396,-5.410131346631439
agree,17,30,0.07628666126895006,-3.9779899002290513,-4.743798427435451,-5.337094234956815
agree,18,18,0.24425449652102071,-3.4560179279073378,-5.03010584159006,-4.530439075191954
agree,18,19,0.28836272821641656,-2.730358241216155,-4.596061718747526,-4.015206774948039
agree,18,20,0.3434121169114983,-2.0954220282366074,-3.133693292032293,-3.1761322553202542
agree,18,21,0.2864825329339195,-2.063525412107447,-2.868198386246562,-2.6013052721059355
agree,18,22,0.11195298599974161,-1.665140984734841,-4.09746477862831,-2.0633084195791738
agree,18,23,0.15732828871392143,-0.8615249731285224,-3.722332186199769,-2.246090111168636
agree,18,24,0.21858822354133398,-0.8662473710436485,-3.188829112539113,-2.2111348294253648
agree,18,25,0.21210520119376702,-0.8487424690389359,-2.9908999471827964,-2.035803754207174
agree,18,26,0.17455171429549352,-0.710463696540052,-3.4382507537205047,-2.2112679656830987
agree,18,27,0.12915447453024548,-0.9212778350001543,-3.2124505743644285,-2.2166010543670795
agree,18,28,0.05782362916560064,-1.626405240496837,-3.4600843034133457,-2.9668860424102954
agree,18,29,0.009982409026525278,-3.249230644094343,-3.9675227266208446,-4.446993929206899
agree,18,30,0.030051298522635498,-3.5839956049346844,-3.6848271293780397,-4.239170571909957
agree,19,18,0.030981147357873173,-6.430583900678568,-7.801607014673861,-7.503944939366013
agree,19,19,0.06791557470543201,-5.7450267097018495,-7.230976828950608,-6.773287994096565
agree,19,20,0.06893859843014759,-5.592436078558977,-6.920512074080805,-6.31192401669604
agree,19,21,0.1319861774074994,-4.550249855476635,-6.479931394542926,-5.339175200449786
agree,19,22,0.41073775191812567,-3.712015731481417,-4.784337601916764,-4.263037768895426
agree,19,23,0.12755621737565004,-4.746486253071884,-5.932524349298825,-5.227866369681373
agree,19,24,0.2629606978606202,-3.65557759498809,-4.892383004512466,-4.459377403610687
agree,19,25,0.23567384682485748,-3.67783451870271,-4.957031759201058,-4.465669750393117
agree,19,26,0.030082136105141006,-6.818562421077539,-8.632305352727604,-7.739914420835626
agree,19,27,0.039375790341386684,-5.186746902687203,-6.762560086802671,-6.15427436916627
agree,19,28,0.1654740934704069,-3.497392972102889,-4.673711342939853,-4.656097822021441
agree,19,29,0.06073906421218763,-4.2475080344183995,-5.139092559276697,-5.378720731469335
agree,19,30,0.0033392433872591336,-5.973125206882472,-7.658891141361254,-7.3145045913053925
kable_true,0,18,0.12238471592462201,-4.902089205093042,-6.991016295893187,-6.6600345710106135
